episode,duration,reward,average_loss
1,500,-500.0,0.08576791492682799
2,500,-500.0,0.0013489590933313594
3,500,-500.0,0.0005275682661449537
4,500,-500.0,0.0004844032134860754
5,500,-500.0,0.00045367339288350197
6,500,-500.0,0.000464767180790659
7,500,-500.0,0.000535771539027337
8,500,-500.0,0.0010314728062949144
9,500,-500.0,0.001162838532589376
10,500,-500.0,0.001313657462480478
11,500,-500.0,0.0013173848092556
12,500,-500.0,0.001187096890527755
13,500,-500.0,0.0014518378424691037
14,300,-299.0,0.0038433535187505185
15,311,-310.0,0.026655073933471055
16,340,-339.0,0.04246933751136941
17,243,-242.0,0.05292790843779413
18,262,-261.0,0.05760163119958557
19,205,-204.0,0.06270103269233936
20,238,-237.0,0.06556864096117872
21,236,-235.0,0.07290133672876883
22,262,-261.0,0.0771845102253306
23,184,-183.0,0.07776862295830379
24,200,-199.0,0.07917475813999772
25,165,-164.0,0.08050755901318608
26,132,-131.0,0.08492077923746723
27,139,-138.0,0.08934830348911903
28,135,-134.0,0.09008732228367416
29,143,-142.0,0.09563271706546103
30,150,-149.0,0.09835900641977786
31,152,-151.0,0.09912445986839502
32,150,-149.0,0.09913149610161781
33,131,-130.0,0.09923193336443137
34,155,-154.0,0.10572017092377908
35,137,-136.0,0.10271726380081943
36,154,-153.0,0.10453492710245894
37,125,-124.0,0.10431506723165512
38,125,-124.0,0.10361319547891616
39,146,-145.0,0.10952795261185463
40,193,-192.0,0.10737781662860682
41,110,-109.0,0.112201834266836
42,101,-100.0,0.11575554193246483
43,111,-110.0,0.12004954522257452
44,138,-137.0,0.1226613731595917
45,133,-132.0,0.12301296684750937
46,156,-155.0,0.12082228327217774
47,165,-164.0,0.12107461036154718
48,147,-146.0,0.1252697827357824
49,110,-109.0,0.1274311736226082
50,155,-154.0,0.13056014934855123
51,99,-98.0,0.13046280881672195
52,171,-170.0,0.13305907700842584
53,119,-118.0,0.1320750925596021
54,169,-168.0,0.131174556646474
55,138,-137.0,0.13146157784090526
56,129,-128.0,0.12974025054957516
57,98,-97.0,0.13098767658277433
58,105,-104.0,0.13438834980839776
59,202,-201.0,0.13474234108730118
60,97,-96.0,0.14630898241837
61,243,-242.0,0.1404380855062371
62,79,-78.0,0.14109785609607456
63,111,-110.0,0.1419568241716505
64,85,-84.0,0.14011462260695065
65,105,-104.0,0.1424062702627409
66,85,-84.0,0.13720135574831682
67,92,-91.0,0.14194963427017565
68,88,-87.0,0.14772818991067735
69,92,-91.0,0.14617265380271102
70,98,-97.0,0.14803810197175765
71,135,-134.0,0.1479198212976809
72,91,-90.0,0.14568679329458173
73,118,-117.0,0.14992234811691915
74,114,-113.0,0.1489874695084597
75,112,-111.0,0.14911041308992676
76,186,-185.0,0.148692708021851
77,95,-94.0,0.15562804623654014
78,98,-97.0,0.15425691464725805
79,101,-100.0,0.15789363112780128
80,110,-109.0,0.16103174083612182
81,121,-120.0,0.15911934555562074
82,112,-111.0,0.15996639004775456
83,130,-129.0,0.1577726579629458
84,97,-96.0,0.1587224239387463
85,94,-93.0,0.16447604851836853
86,142,-141.0,0.16101875087954629
87,119,-118.0,0.16033122888883622
88,89,-88.0,0.16078645551807424
89,451,-450.0,0.15677889530648148
90,122,-121.0,0.15287729206143832
91,93,-92.0,0.15311583956723573
92,131,-130.0,0.15402660308448413
93,106,-105.0,0.1508963643661085
94,112,-111.0,0.14957369518067157
95,96,-95.0,0.15378839685581625
96,136,-135.0,0.1532698867513853
97,93,-92.0,0.15544144913393965
98,88,-87.0,0.15862639570100742
99,133,-132.0,0.1579171724449423
100,123,-122.0,0.15698954093504727
101,114,-113.0,0.16039269058066502
102,94,-93.0,0.1627631439490521
103,140,-139.0,0.16351831943861075
104,101,-100.0,0.15949731902910932
105,235,-234.0,0.15811708363446783
106,119,-118.0,0.15768673170764907
107,134,-133.0,0.1541448549103381
108,105,-104.0,0.1545074986560004
109,164,-163.0,0.15909933017157926
110,158,-157.0,0.15557799563754962
111,133,-132.0,0.15892558634505236
112,500,-500.0,0.15149833635985852
113,160,-159.0,0.1509866626933217
114,177,-176.0,0.14970940469348498
115,500,-500.0,0.14554073141515256
116,116,-115.0,0.1407544819702362
117,95,-94.0,0.14248727967864588
118,110,-109.0,0.1402618795633316
119,154,-153.0,0.13872105008982993
120,139,-138.0,0.13963552548302163
121,106,-105.0,0.13614966235352013
122,500,-500.0,0.1374546808451414
123,125,-124.0,0.1366717501282692
124,156,-155.0,0.13175127593179545
125,115,-114.0,0.13434415271748668
126,182,-181.0,0.13313298561907078
127,140,-139.0,0.13187261968851088
128,107,-106.0,0.13320469173872582
129,122,-121.0,0.12800686348412857
130,119,-118.0,0.1328726253714882
131,115,-114.0,0.12856688039458317
132,118,-117.0,0.13172279588751873
133,110,-109.0,0.12897362925789574
134,118,-117.0,0.12910488569888018
135,115,-114.0,0.13125163381514343
136,123,-122.0,0.1295511041109155
137,131,-130.0,0.130559969323737
138,94,-93.0,0.12675215375233204
139,119,-118.0,0.1287723517968875
140,177,-176.0,0.12428456283895309
141,126,-125.0,0.12908588793306125
142,105,-104.0,0.12896891378221056
143,117,-116.0,0.13049419096901885
144,148,-147.0,0.1287134468454767
145,90,-89.0,0.12600999524195988
146,126,-125.0,0.1285487169192897
147,82,-81.0,0.12827991067272862
148,99,-98.0,0.12414034757048192
149,101,-100.0,0.12735720059954295
150,115,-114.0,0.12655777879383254
151,84,-83.0,0.12529848347462358
152,136,-135.0,0.12917884137919722
153,100,-99.0,0.12733889013528824
154,137,-136.0,0.1280236541681046
155,94,-93.0,0.1289339931087291
156,96,-95.0,0.12990001022505263
157,110,-109.0,0.12644410106268797
158,82,-81.0,0.12671871283432332
159,81,-80.0,0.12679131200284133
160,97,-96.0,0.12585081014129304
161,85,-84.0,0.12481217691126992
162,178,-177.0,0.12887158211362496
163,82,-81.0,0.13086863389102424
164,96,-95.0,0.12790382211096585
165,135,-134.0,0.12790039165152445
166,104,-103.0,0.12796946414388144
167,275,-274.0,0.132506832995198
168,107,-106.0,0.12937801428765894
169,113,-112.0,0.13047040339592283
170,93,-92.0,0.12921764076717437
171,100,-99.0,0.12573521196842194
172,96,-95.0,0.12728151748888195
173,101,-100.0,0.12685273668848643
174,115,-114.0,0.12866807787314705
175,92,-91.0,0.12577518901747206
176,116,-115.0,0.12417492668690353
177,125,-124.0,0.12409218257665634
178,112,-111.0,0.12558440777606197
179,94,-93.0,0.1274391439683894
180,101,-100.0,0.12551173715308162
181,500,-500.0,0.12512970316410066
182,99,-98.0,0.12442670529237901
183,64,-63.0,0.12195624073501676
184,75,-74.0,0.1253052097558975
185,82,-81.0,0.12716746457466266
186,95,-94.0,0.1266586909168645
187,146,-145.0,0.1263866392921095
188,116,-115.0,0.13193403698247055
189,233,-232.0,0.13687302997183903
190,102,-101.0,0.14527221476914837
191,84,-83.0,0.1449986487804424
192,85,-84.0,0.14233049364650951
193,94,-93.0,0.13999136156858283
194,104,-103.0,0.13959847970937306
195,102,-101.0,0.13837232477232522
196,85,-84.0,0.1364850342273712
197,114,-113.0,0.13207016238256505
198,500,-500.0,0.13167352674901486
199,500,-500.0,0.12658488857746125
200,261,-260.0,0.12448614755809535
201,93,-92.0,0.1246217137543104
202,90,-89.0,0.12457990952663951
203,153,-152.0,0.12233513471932193
204,186,-185.0,0.12141127756205938
205,96,-95.0,0.12069529271684587
206,65,-64.0,0.12068715806190784
207,89,-88.0,0.12192041368296977
208,93,-92.0,0.12138642635076277
209,119,-118.0,0.1202357042612148
210,115,-114.0,0.12027647968219674
211,90,-89.0,0.12199215392271677
212,141,-140.0,0.1210273284438654
213,101,-100.0,0.11789339205416122
214,112,-111.0,0.12044060336691993
215,96,-95.0,0.11924361321143806
216,100,-99.0,0.12124003253877164
217,120,-119.0,0.11826442672560612
218,135,-134.0,0.12051097055276234
219,111,-110.0,0.12047817531201216
220,88,-87.0,0.11727943804792383
221,107,-106.0,0.11683778750283697
222,142,-141.0,0.11764360250721514
223,88,-87.0,0.11515741211108187
