episode,duration,reward,average_loss
1,500,-500.0,0.08439631445767812
2,500,-500.0,0.006451633864082396
3,500,-500.0,0.004246838008286432
4,500,-500.0,0.0034797096953261644
5,500,-500.0,0.003107215959695168
6,500,-500.0,0.0036029632322024554
7,500,-500.0,0.0068614587341435255
8,102,-101.0,0.007510447002691673
9,152,-151.0,0.012779972028894056
10,96,-95.0,0.017448202042335954
11,121,-120.0,0.026112974436630396
12,123,-122.0,0.024475880800102785
13,139,-138.0,0.031072442171920976
14,143,-142.0,0.030739422809410763
15,190,-189.0,0.03728550406614024
16,153,-152.0,0.044994971200555955
17,162,-161.0,0.048369836878537395
18,132,-131.0,0.057771369818400475
19,187,-186.0,0.06377470045584567
20,132,-131.0,0.06088051659929933
21,181,-180.0,0.0627343900223875
22,135,-134.0,0.06998784168174974
23,123,-122.0,0.07759277474104874
24,130,-129.0,0.06720354781271173
25,124,-123.0,0.05893140349296793
26,118,-117.0,0.09506378431757123
27,107,-106.0,0.08423118402084737
28,117,-116.0,0.09772858568905
29,118,-117.0,0.10677586688454878
30,121,-120.0,0.09068019755861977
31,132,-131.0,0.10031444740227678
32,122,-121.0,0.10198875006715782
33,158,-157.0,0.1062629430472285
34,147,-146.0,0.10150010115942176
35,281,-280.0,0.1163615148839312
36,156,-155.0,0.12272706194422565
37,167,-166.0,0.14172605793744683
38,124,-123.0,0.14503962572123255
39,137,-136.0,0.14627174173828458
40,110,-109.0,0.14009085659953682
41,104,-103.0,0.13633248363979733
42,102,-101.0,0.1407703296007479
43,105,-104.0,0.12730475000682331
44,131,-130.0,0.13840116605958866
45,90,-89.0,0.16078209810786778
46,118,-117.0,0.15755039328803955
47,295,-294.0,0.17675373379330514
48,113,-112.0,0.12879891507327557
49,97,-96.0,0.17172977675866222
50,115,-114.0,0.1667066959583241
51,116,-115.0,0.1472443577287526
52,169,-168.0,0.18708198603529197
53,127,-126.0,0.2006329470057422
54,101,-100.0,0.16668332810744202
55,182,-181.0,0.18352208756278832
56,163,-162.0,0.17323352700453595
57,190,-189.0,0.18729070232887018
58,93,-92.0,0.18728798243307299
59,104,-103.0,0.22257817896584478
60,137,-136.0,0.22251907979430507
61,103,-102.0,0.21609313066289262
62,120,-119.0,0.2088608818128705
63,97,-96.0,0.2481043303058934
64,102,-101.0,0.2290581550229998
65,102,-101.0,0.2488469428145418
66,224,-223.0,0.27923423529968466
67,106,-105.0,0.26136617791259065
68,118,-117.0,0.2774903346168793
69,95,-94.0,0.2579139024803513
70,126,-125.0,0.2666142534996782
71,102,-101.0,0.27621792326224787
72,91,-90.0,0.2817078848052156
73,65,-64.0,0.3066493844756713
74,250,-249.0,0.3013129577487707
75,122,-121.0,0.28928429694449315
76,109,-108.0,0.33139810567602107
77,106,-105.0,0.24401144781764947
78,117,-116.0,0.3063721810586942
79,92,-91.0,0.3227748410857242
80,101,-100.0,0.3213500351746484
81,104,-103.0,0.3342215886267905
82,95,-94.0,0.33597945312136096
83,163,-162.0,0.3699065235677672
84,126,-125.0,0.3732679033622382
85,80,-79.0,0.38883142387494446
86,95,-94.0,0.31252088703607256
87,127,-126.0,0.3812879604382778
88,89,-88.0,0.38188055111618524
89,107,-106.0,0.3413012179537354
90,113,-112.0,0.3671220089020455
91,117,-116.0,0.35338196865259075
92,83,-82.0,0.40051948297095585
93,104,-103.0,0.3257125760070406
94,157,-156.0,0.3964846576475034
95,146,-145.0,0.40116191216527597
96,115,-114.0,0.34609475220027175
97,141,-140.0,0.3617516963987063
