episode,duration,reward,average_loss
1,10,10.0,0
2,12,12.0,0
3,75,75.0,0
4,26,26.0,0
5,18,18.0,0.46001826013837543
6,12,12.0,0.40390130629142124
7,19,19.0,0.3401355178732621
8,31,31.0,0.21913760660156126
9,22,22.0,0.13387963209639897
10,16,16.0,0.09372867690399289
11,12,12.0,0.06389553875972827
12,23,23.0,0.023319666273891926
13,11,11.0,0.014351667243648659
14,15,15.0,0.029877883940935136
15,16,16.0,0.0291313553461805
16,18,18.0,0.02264209407278233
17,11,11.0,0.014502957463264465
18,19,19.0,0.01466312666276568
19,14,14.0,0.013971484199698483
20,16,16.0,0.014102169603575021
21,17,17.0,0.014581480446983786
22,25,25.0,0.015387842990458011
23,12,12.0,0.01585781682903568
24,11,11.0,0.016334175132215023
25,16,16.0,0.01618226384744048
26,17,17.0,0.01636356723440044
27,11,11.0,0.016512735831466587
28,14,14.0,0.016869263923061744
29,25,25.0,0.01692416049540043
30,11,11.0,0.01789940284057097
31,14,14.0,0.017609538111303533
32,10,10.0,0.017793940380215645
33,13,13.0,0.0190371241993629
34,18,18.0,0.01898039463493559
35,12,12.0,0.01919962155322234
36,15,15.0,0.01981229744851589
37,20,20.0,0.019144536647945642
38,19,19.0,0.02054773329904205
39,16,16.0,0.022187775699421763
40,11,11.0,0.02118600363081152
41,13,13.0,0.021499517731941663
42,14,14.0,0.021617944884513105
43,13,13.0,0.021588522367752515
44,12,12.0,0.0228051842811207
45,14,14.0,0.022973502054810524
46,10,10.0,0.02413455080240965
47,12,12.0,0.02434509914989273
48,13,13.0,0.02566226958655394
49,14,14.0,0.02581383301211255
50,15,15.0,0.027716009443004928
51,12,12.0,0.027156225716074307
52,12,12.0,0.02661979819337527
53,15,15.0,0.029485545059045156
54,18,18.0,0.028857986235784158
55,10,10.0,0.030435356311500072
56,10,10.0,0.028623233176767827
57,20,20.0,0.03139831442385912
58,18,18.0,0.03112042208926545
59,10,10.0,0.03246501628309488
60,13,13.0,0.03507024651536575
61,14,14.0,0.03305585775524378
62,10,10.0,0.03388780057430267
63,13,13.0,0.03606181606077231
64,15,15.0,0.034068915992975235
65,17,17.0,0.03567598365685519
66,13,13.0,0.03544371374524557
67,11,11.0,0.0358854682946747
68,11,11.0,0.037799250334501266
69,14,14.0,0.03731364889868668
70,11,11.0,0.03737673061815175
71,13,13.0,0.0367913618683815
72,11,11.0,0.03958869928663427
73,15,15.0,0.038405511031548184
74,20,20.0,0.038014966435730456
75,13,13.0,0.039262448938993305
76,13,13.0,0.03940011761509455
77,11,11.0,0.0414703024381941
78,16,16.0,0.04247002536430955
79,13,13.0,0.04032115065134489
80,12,12.0,0.04294997360557318
81,12,12.0,0.044424234268565975
82,11,11.0,0.04239941727031361
83,11,11.0,0.04266512766480446
84,11,11.0,0.04223451695658944
85,14,14.0,0.04207776752965791
86,15,15.0,0.04436652436852455
87,11,11.0,0.04358661107041619
88,11,11.0,0.044317052445628426
89,17,17.0,0.04365686436786371
90,11,11.0,0.0466536551036618
91,14,14.0,0.04457444032388074
92,14,14.0,0.04526137001812458
93,12,12.0,0.04743397949884335
94,17,17.0,0.04452813241411658
95,13,13.0,0.04735262577350323
96,14,14.0,0.04773415359003203
97,14,14.0,0.045197327222142904
98,13,13.0,0.04744581419688005
99,14,14.0,0.04822883116347449
100,14,14.0,0.04668735686157431
101,25,25.0,0.04878491550683975
102,13,13.0,0.049278842428555854
103,14,14.0,0.048192103526421955
104,16,16.0,0.04979779967106879
105,17,17.0,0.050051515593248254
106,16,16.0,0.04875768907368183
107,17,17.0,0.05085692861500908
108,18,18.0,0.04927304449180762
109,17,17.0,0.051512720611165554
110,19,19.0,0.050618844989099
111,17,17.0,0.054137337733717525
112,18,18.0,0.05272964988317755
113,17,17.0,0.05408147284213234
114,21,21.0,0.05706364555018289
115,17,17.0,0.057687213973087424
116,21,21.0,0.05750557815744763
117,25,25.0,0.05592541724443436
118,22,22.0,0.057076085528189484
119,27,27.0,0.061036809589023945
120,23,23.0,0.06259814115322154
121,23,23.0,0.060050178319215775
122,22,22.0,0.0630525726486336
123,23,23.0,0.06345692876240482
124,23,23.0,0.06333750567358473
125,31,31.0,0.06564428705361582
126,25,25.0,0.06632375568151475
127,33,33.0,0.06644412389758861
128,30,30.0,0.06655801137288411
129,32,32.0,0.06749963294714689
130,37,37.0,0.06641594360809068
131,37,37.0,0.07057970470270596
132,33,33.0,0.06722120545578725
133,28,28.0,0.07118852662720851
134,31,31.0,0.0705823565442716
135,30,30.0,0.07131413506964843
136,33,33.0,0.07104494242054044
137,36,36.0,0.07051112978822655
138,38,38.0,0.07161250210514195
139,31,31.0,0.07328940146873074
140,40,40.0,0.07155768051743508
141,38,38.0,0.0740400125321589
142,30,30.0,0.0714247817794482
143,29,29.0,0.07329422286872206
144,40,40.0,0.07649964783340693
145,31,31.0,0.07584577294126633
146,39,39.0,0.07565006346274646
147,34,34.0,0.0740902110495988
148,42,42.0,0.07754024685848326
149,41,41.0,0.07731583796259833
150,41,41.0,0.07856275813608635
151,45,45.0,0.07818832405739361
152,36,36.0,0.07896193510128392
153,40,40.0,0.08054700493812561
154,43,43.0,0.08034791676111
155,45,45.0,0.07899853123558892
156,47,47.0,0.0809631107493918
157,56,56.0,0.08222642075270414
158,52,52.0,0.08080441053383626
159,67,67.0,0.08400028165596635
160,110,110.0,0.08340006985447623
161,96,96.0,0.08305687938506405
162,101,101.0,0.08450588805250603
163,101,101.0,0.08689223502827163
164,109,109.0,0.09001814744888095
165,119,119.0,0.09187925682097924
166,126,126.0,0.0933604518927279
167,143,143.0,0.09713179018947628
168,156,156.0,0.10056500241924556
169,183,183.0,0.10620140838004201
170,275,275.0,0.11326157385652716
171,113,113.0,0.11916899179990313
172,124,124.0,0.12570941982971084
173,114,114.0,0.13091109098311057
174,111,111.0,0.13415072771074535
175,112,112.0,0.13928202340113266
176,104,104.0,0.14514014375610992
177,112,112.0,0.14791187584134086
178,106,106.0,0.15193163666803883
179,103,103.0,0.15596458380951464
180,99,99.0,0.16035923632708463
181,97,97.0,0.16212262336126307
182,97,97.0,0.1685760056542367
183,106,106.0,0.16833775462406986
184,97,97.0,0.17548164187632886
185,98,98.0,0.17695910194698644
186,94,94.0,0.18245293643880398
187,96,96.0,0.1874976403390368
188,93,93.0,0.1841178493954802
189,96,96.0,0.18924158190687498
190,98,98.0,0.1976552292400477
191,100,100.0,0.19549563273787499
192,102,102.0,0.1939020526467585
193,99,99.0,0.20035559796925748
194,103,103.0,0.20039923988210345
195,102,102.0,0.20478072718662374
196,110,110.0,0.2066104622049765
