episode,duration,reward,average_loss
1,8,8.0,0
2,30,30.0,0
3,33,33.0,0
4,15,15.0,0
5,12,12.0,0
6,24,24.0,0
7,21,21.0,0.47336539439857006
8,14,14.0,0.4124426948172705
9,15,15.0,0.361562047402064
10,11,11.0,0.3177563358436931
11,9,9.0,0.2851766414112515
12,30,30.0,0.23505718757708868
13,10,10.0,0.18267830610275268
14,10,10.0,0.1580607309937477
15,9,9.0,0.1415164354774687
16,14,14.0,0.11999643168279103
17,10,10.0,0.10439966395497322
18,13,13.0,0.09285312489821361
19,11,11.0,0.07892691614952954
20,11,11.0,0.07451855899258093
21,15,15.0,0.06918395012617111
22,9,9.0,0.06544326990842819
23,8,8.0,0.061231881845742464
24,9,9.0,0.05962026905682352
25,13,13.0,0.059574672809013955
26,12,12.0,0.057904018399616085
27,14,14.0,0.06127444974013737
28,10,10.0,0.05585884973406792
29,12,12.0,0.055602978294094406
30,10,10.0,0.057538095861673355
31,8,8.0,0.05288252234458923
32,8,8.0,0.05303647601976991
33,11,11.0,0.055637427351691505
34,10,10.0,0.05366094410419464
35,8,8.0,0.06048237578943372
36,9,9.0,0.056715971065892115
37,12,12.0,0.056658118031919
38,22,22.0,0.06430787677791985
39,21,21.0,0.06068044510625657
40,21,21.0,0.06768534811479705
41,11,11.0,0.06734157421372154
42,10,10.0,0.06511543057858944
43,12,12.0,0.0756622835372885
44,10,10.0,0.07334385514259338
45,11,11.0,0.06588901782577689
46,12,12.0,0.07636865352590878
47,11,11.0,0.07455063983798027
48,11,11.0,0.08243597027930347
49,8,8.0,0.08039369247853756
50,11,11.0,0.07887739688158035
51,12,12.0,0.081484438230594
52,13,13.0,0.08134643303660247
53,15,15.0,0.09576216042041778
54,9,9.0,0.0944782979786396
55,11,11.0,0.10097574713555249
56,14,14.0,0.09966149447219712
57,17,17.0,0.10310943928711555
58,10,10.0,0.11006962358951569
59,9,9.0,0.09653335561354955
60,11,11.0,0.10758258402347565
61,12,12.0,0.10320583948244651
62,11,11.0,0.10897793553092262
63,10,10.0,0.11253445968031883
64,15,15.0,0.13096071680386862
65,14,14.0,0.12987877907497541
66,26,26.0,0.12150955200195312
67,14,14.0,0.13883303904107638
68,13,13.0,0.14060234622313425
69,10,10.0,0.16108394861221315
70,12,12.0,0.1267430242151022
71,11,11.0,0.14188206399028952
72,10,10.0,0.14248040169477463
73,9,9.0,0.1394692493809594
74,12,12.0,0.16054344301422438
75,15,15.0,0.1494490385055542
76,12,12.0,0.17178677146633467
77,10,10.0,0.1591722421348095
78,13,13.0,0.16214495438795823
79,14,14.0,0.161417192114251
80,16,16.0,0.17046486400067806
81,10,10.0,0.176665361225605
82,17,17.0,0.15322294787448995
83,13,13.0,0.16417020903183863
