episode,duration,reward,average_loss
1,200,-200.0,0.2968936715632269
2,200,-200.0,0.0836826167581603
3,200,-200.0,0.005583751500817016
4,200,-200.0,0.0021571785846026615
5,200,-200.0,0.0008337869073147885
6,200,-200.0,0.00045018264587270095
7,200,-200.0,0.00033796261908719316
8,200,-200.0,0.0002964536724903155
9,200,-200.0,0.00028332810150459407
10,200,-200.0,0.0002852119914314244
11,200,-200.0,0.0002798496367176995
12,200,-200.0,0.00028252671254449526
13,200,-200.0,0.00028592700400622564
14,200,-200.0,0.0002822423868929036
15,200,-200.0,0.00025538504938595
16,200,-200.0,0.000236428085481748
17,200,-200.0,0.00023143351456383243
18,200,-200.0,0.00020713148413051386
19,200,-200.0,0.00018224355015263426
20,200,-200.0,0.00015269993898982647
21,200,-200.0,0.00013041540605627234
22,200,-200.0,0.00012248084247403311
23,200,-200.0,0.00011313484767015325
24,200,-200.0,0.00010528389870160027
25,200,-200.0,9.84415530183469e-05
26,200,-200.0,9.295060681324685e-05
27,200,-200.0,8.380475508602104e-05
28,200,-200.0,7.623311430506873e-05
29,200,-200.0,7.027088591712527e-05
30,200,-200.0,6.597455412702403e-05
31,200,-200.0,6.128515338787111e-05
32,200,-200.0,5.9412815589894306e-05
33,200,-200.0,5.510606499228743e-05
34,200,-200.0,5.296616604027804e-05
35,200,-200.0,5.0190102138003566e-05
36,200,-200.0,4.831387870581239e-05
37,200,-200.0,4.7314151825048615e-05
38,200,-200.0,4.6545885497835114e-05
39,200,-200.0,4.438471817593381e-05
40,200,-200.0,4.466430736101756e-05
41,200,-200.0,4.45858699913515e-05
42,200,-200.0,4.4690252589134613e-05
43,200,-200.0,4.468141316465335e-05
44,200,-200.0,4.5266737361089325e-05
45,200,-200.0,4.7449730218431795e-05
46,200,-200.0,4.8701918776714594e-05
47,200,-200.0,5.0333897779637484e-05
48,200,-200.0,5.2739617494808044e-05
49,200,-200.0,5.5491617313236926e-05
50,200,-200.0,5.68099179690762e-05
51,200,-200.0,6.0068048787798035e-05
52,200,-200.0,6.452205492678331e-05
53,200,-200.0,6.633240549490438e-05
54,200,-200.0,6.814577265686239e-05
55,200,-200.0,7.133838877052767e-05
56,200,-200.0,7.389871132545522e-05
57,200,-200.0,7.959467613545712e-05
58,200,-200.0,8.126799224555725e-05
59,200,-200.0,8.473458317894256e-05
60,200,-200.0,8.717512413568329e-05
61,200,-200.0,8.896285835362505e-05
62,200,-200.0,9.064129997568671e-05
63,200,-200.0,8.810160041321069e-05
64,200,-200.0,8.534843946108594e-05
65,200,-200.0,8.844973584928085e-05
66,200,-200.0,9.28210749043501e-05
67,200,-200.0,9.588937602529768e-05
68,200,-200.0,9.737435579154407e-05
69,200,-200.0,9.917362462147139e-05
70,200,-200.0,0.00010223739118373488
71,200,-200.0,0.00010394843211543048
72,200,-200.0,0.00010891467176406878
73,200,-200.0,0.00011593268773140153
74,200,-200.0,0.00011497136249090545
75,200,-200.0,0.00011495008060592226
76,200,-200.0,0.0001103834750392707
77,200,-200.0,0.0001168120173679199
78,200,-200.0,0.0003339477182817063
79,200,-200.0,0.000721958805952454
80,200,-200.0,0.0006781836722802837
81,200,-200.0,0.000735009576601442
82,200,-200.0,0.0007938981050392613
83,200,-200.0,0.0008637553022708744
84,200,-200.0,0.0011622368555981666
85,200,-200.0,0.0016002242785179987
86,200,-200.0,0.001418621432967484
87,200,-200.0,0.00142248314950848
88,200,-200.0,0.001659113320056349
89,200,-200.0,0.0017410350422142073
90,200,-200.0,0.0017224823537981139
91,200,-200.0,0.0017288271978031845
92,200,-200.0,0.001684522351133637
93,200,-200.0,0.0016592660458991304
94,200,-200.0,0.001613277091528289
95,200,-200.0,0.0015958388336002826
96,200,-200.0,0.001589045290602371
97,200,-200.0,0.0015935557207558304
98,200,-200.0,0.0015400889824377373
99,200,-200.0,0.001550522551406175
100,200,-200.0,0.001552499642712064
101,200,-200.0,0.0014929148118244485
102,200,-200.0,0.0014925275297719054
103,200,-200.0,0.001508245937875472
104,200,-200.0,0.0014386531722266227
105,200,-200.0,0.0014032253285404294
106,200,-200.0,0.0013670462474692612
107,200,-200.0,0.001377609652117826
108,200,-200.0,0.0013981644378509373
109,200,-200.0,0.001349658184335567
110,200,-200.0,0.0013194815325550736
111,200,-200.0,0.0012922914052614942
112,200,-200.0,0.0012468603657907807
113,200,-200.0,0.0012442066721268929
114,200,-200.0,0.0012393132623401471
115,200,-200.0,0.0011935704317875206
116,200,-200.0,0.0011579467490082608
117,200,-200.0,0.0011270883461111224
118,200,-200.0,0.0011422829772345722
119,200,-200.0,0.0011493248466285877
120,200,-200.0,0.0011258568239281884
121,163,-163.0,0.0014764712012852856
122,192,-192.0,0.10831186089975138
123,182,-182.0,0.19042883264821964
124,200,-200.0,0.25150207947939635
125,165,-165.0,0.24473160992969167
126,200,-200.0,0.29300120532512663
127,200,-200.0,0.2828229469060898
128,200,-200.0,0.2798986545205116
129,167,-167.0,0.27432319048992887
130,173,-173.0,0.3035189613613779
131,173,-173.0,0.3261160979725722
132,171,-171.0,0.343203510108747
133,171,-171.0,0.35360992355653414
134,164,-164.0,0.3582640210302865
135,200,-200.0,0.3726404181867838
136,200,-200.0,0.35487676605582236
137,171,-171.0,0.3436552747996927
138,200,-200.0,0.3422558946162462
139,200,-200.0,0.31932272188365457
140,200,-200.0,0.30160902962088587
141,200,-200.0,0.2848239280283451
142,200,-200.0,0.2633806055784225
143,200,-200.0,0.2364670003205538
144,200,-200.0,0.21920474231243134
145,200,-200.0,0.20086236849427222
146,200,-200.0,0.18080041371285915
147,200,-200.0,0.16331437636166812
148,200,-200.0,0.14782827217131853
149,200,-200.0,0.12921789612621068
150,200,-200.0,0.11936977952718734
151,200,-200.0,0.10416210735216737
152,200,-200.0,0.09217708030715585
153,200,-200.0,0.08250203480944038
154,200,-200.0,0.07163315651938319
155,189,-189.0,0.06317665398357407
156,200,-200.0,0.061268468983471394
157,200,-200.0,0.05666416209191084
158,162,-162.0,0.05378544093742047
159,200,-200.0,0.052303449977189304
160,200,-200.0,0.05316849004477262
161,200,-200.0,0.052564210016280415
162,172,-172.0,0.05387427157527486
163,175,-175.0,0.055218492022582465
164,200,-200.0,0.05803716478869319
165,200,-200.0,0.06018009640276432
166,172,-172.0,0.06160588984832514
167,167,-167.0,0.06682715096516524
168,200,-200.0,0.06846707679331303
169,200,-200.0,0.07343779128044843
170,200,-200.0,0.07508019477128983
171,200,-200.0,0.07649041932076216
172,200,-200.0,0.0808837727457285
173,200,-200.0,0.08424668056890368
174,200,-200.0,0.08664141936227679
175,200,-200.0,0.0850437007471919
176,200,-200.0,0.08624738050624728
177,200,-200.0,0.08617422759532928
178,200,-200.0,0.08803657794371247
179,200,-200.0,0.09029554635286331
180,200,-200.0,0.09298439472913742
181,200,-200.0,0.0939011869393289
182,200,-200.0,0.08779172057285906
183,171,-171.0,0.08646518615079903
184,200,-200.0,0.08659822821617126
185,193,-193.0,0.08782231543271035
186,175,-175.0,0.09138482191732951
187,189,-189.0,0.09518288221781847
188,177,-177.0,0.09976633179322475
189,178,-178.0,0.10682867952946866
190,191,-191.0,0.11530960905146224
191,174,-174.0,0.12182441045498026
192,177,-177.0,0.1223762934069849
193,171,-171.0,0.12721517172298932
194,177,-177.0,0.13240395456889256
195,183,-183.0,0.13772295802180232
196,186,-186.0,0.14237741412975455
197,179,-179.0,0.15058878526174824
198,200,-200.0,0.15310497745871543
199,200,-200.0,0.1500164857134223
200,170,-170.0,0.15459227171890877
201,193,-193.0,0.1569101787678936
202,200,-200.0,0.15733744006603956
203,200,-200.0,0.1636492320150137
204,200,-200.0,0.15919253185391427
205,200,-200.0,0.16218013890087604
206,200,-200.0,0.16684724632650613
207,200,-200.0,0.16556957822293042
208,200,-200.0,0.1637843917310238
209,200,-200.0,0.16485365334898233
210,200,-200.0,0.1673154816031456
211,200,-200.0,0.16527734607458114
212,200,-200.0,0.1671119872480631
213,200,-200.0,0.16640157550573348
214,200,-200.0,0.1655670578405261
215,200,-200.0,0.16326907981187105
216,200,-200.0,0.16515452720224857
217,200,-200.0,0.16315265350043773
218,200,-200.0,0.1669422234594822
219,200,-200.0,0.162260387763381
220,200,-200.0,0.16097914282232523
221,200,-200.0,0.16506050169467926
222,200,-200.0,0.16123070519417523
223,200,-200.0,0.1681714852899313
224,200,-200.0,0.1676183021441102
225,200,-200.0,0.16483999449759723
226,200,-200.0,0.1678101846575737
227,200,-200.0,0.16641781773418188
228,200,-200.0,0.17512377355247735
229,200,-200.0,0.1688360657170415
230,200,-200.0,0.16964645992964505
231,200,-200.0,0.1735408241674304
232,200,-200.0,0.1739196503534913
233,200,-200.0,0.1759681198745966
234,200,-200.0,0.18026437159627676
235,200,-200.0,0.17548419672995805
236,200,-200.0,0.17427467595785856
237,200,-200.0,0.16972514662891627
238,200,-200.0,0.158725121691823
239,200,-200.0,0.14457047306001186
240,200,-200.0,0.1381673414260149
241,200,-200.0,0.12326220389455557
242,200,-200.0,0.1207112393155694
243,200,-200.0,0.1130306501314044
244,200,-200.0,0.10428970782086253
245,200,-200.0,0.09106602240353823
246,200,-200.0,0.08163745142519474
247,200,-200.0,0.06899189218878746
248,200,-200.0,0.05608946590684354
249,176,-176.0,0.05406863887963647
250,180,-180.0,0.06225067066649596
251,200,-200.0,0.058192845918238166
252,174,-174.0,0.053667991272248756
253,164,-164.0,0.06103934052332145
254,165,-165.0,0.06477410547209508
255,162,-162.0,0.06861425009498626
256,163,-163.0,0.07295704859257476
257,158,-158.0,0.07470698421231553
258,156,-156.0,0.07579497030625741
259,200,-200.0,0.08416833464056253
260,153,-153.0,0.0856772535571865
261,151,-151.0,0.09298971877587552
262,154,-154.0,0.10113723068074747
263,154,-154.0,0.10229356190213909
264,152,-152.0,0.10551972295108594
265,152,-152.0,0.1148878046752591
266,156,-156.0,0.11335521759704137
267,150,-150.0,0.11963325714071592
268,149,-149.0,0.12862461980357265
269,147,-147.0,0.14044400304555893
270,147,-147.0,0.14476964774788642
271,148,-148.0,0.1556930567163068
272,149,-149.0,0.16655423292177635
273,150,-150.0,0.17515136698881786
274,144,-144.0,0.17850988430695403
275,150,-150.0,0.18036929428577422
276,149,-149.0,0.18650195617603776
277,146,-146.0,0.19035828792273182
278,145,-145.0,0.19232555350352978
279,146,-146.0,0.20150989059307803
280,153,-153.0,0.20602959306801066
281,142,-142.0,0.20243785121071506
282,144,-144.0,0.2013101675030258
283,143,-143.0,0.19612267342480746
284,140,-140.0,0.20567901549594744
285,147,-147.0,0.20302724747025236
286,135,-135.0,0.2020168862409062
287,144,-144.0,0.20427728640950388
