episode,duration,reward,average_loss
1,200,-200.0,0.3494785811803112
2,200,-200.0,0.07898253445979207
3,200,-200.0,0.0031166715506697074
4,200,-200.0,0.0008988410832535009
5,200,-200.0,0.00023925154862808996
6,200,-200.0,0.00015793937349371844
7,200,-200.0,9.132294549999642e-05
8,200,-200.0,4.9684197642818616e-05
9,200,-200.0,2.0047579646416125e-05
10,200,-200.0,3.628120223766018e-05
11,200,-200.0,3.023830954589357e-05
12,200,-200.0,1.790510453247407e-05
13,200,-200.0,1.795518968947363e-05
14,200,-200.0,1.7574851478912025e-05
15,200,-200.0,1.5431601036652863e-05
16,200,-200.0,1.3455745011015096e-05
17,200,-200.0,1.3145991533747293e-05
18,200,-200.0,1.2093868531337647e-05
19,200,-200.0,1.1517248447034945e-05
20,200,-200.0,1.1121463596737158e-05
21,200,-200.0,1.1399464075338983e-05
22,200,-200.0,1.1372105318514513e-05
23,200,-200.0,1.0009950810854207e-05
24,200,-200.0,9.812584048631834e-06
25,200,-200.0,9.955654801387937e-06
26,200,-200.0,1.061743564491735e-05
27,200,-200.0,1.1770681609277745e-05
28,200,-200.0,1.3111333047390871e-05
29,200,-200.0,1.3597990639482304e-05
30,200,-200.0,1.3942451766979503e-05
31,200,-200.0,1.430540605497299e-05
32,200,-200.0,1.5209441839942883e-05
33,200,-200.0,1.4582337773845212e-05
34,200,-200.0,1.6503285027056337e-05
35,200,-200.0,1.8681953895338667e-05
36,200,-200.0,2.000444381565103e-05
37,200,-200.0,2.5688873870421956e-05
38,200,-200.0,1.9920969539271027e-05
39,200,-200.0,2.0855831812696125e-05
40,200,-200.0,2.256258824786528e-05
41,200,-200.0,2.0748725247585754e-05
42,200,-200.0,2.2098928661762328e-05
43,200,-200.0,2.2615941184085386e-05
44,200,-200.0,2.4670764678376144e-05
45,200,-200.0,2.2495278167298237e-05
46,200,-200.0,2.517130980550064e-05
47,200,-200.0,2.8357125020193054e-05
48,200,-200.0,2.9200214066804618e-05
49,200,-200.0,2.501758879816407e-05
50,200,-200.0,3.0726366835551746e-05
51,200,-200.0,3.337683985137119e-05
52,200,-200.0,3.614911312070035e-05
53,200,-200.0,4.82115509794312e-05
54,200,-200.0,5.6555518594905154e-05
55,200,-200.0,6.419698987429e-05
56,200,-200.0,6.693800107768766e-05
57,200,-200.0,6.289719962296659e-05
58,200,-200.0,5.8928447365360626e-05
59,200,-200.0,8.082137272140244e-05
60,200,-200.0,9.821896680477948e-05
61,200,-200.0,9.917662389852922e-05
62,200,-200.0,0.00010375775154898292
63,200,-200.0,0.00010646275273757056
64,200,-200.0,0.00011361465311892971
65,200,-200.0,0.000133034450282139
66,200,-200.0,0.00011606902557105058
67,200,-200.0,0.0001205378237318655
68,200,-200.0,0.00013479874456606922
69,200,-200.0,0.00012504546664786177
70,200,-200.0,0.00013254445337224752
71,200,-200.0,0.0001384604520899302
72,200,-200.0,0.00014017856583450338
73,200,-200.0,0.00013728874237131094
74,200,-200.0,0.00013940743441708035
75,200,-200.0,0.00015553957826341502
76,200,-200.0,0.00015523493884757046
77,200,-200.0,0.00016853712735610316
78,200,-200.0,0.00016022682735638226
79,200,-200.0,0.000160461668165226
80,200,-200.0,0.00017476980247010943
81,200,-200.0,0.00018018739967374132
82,200,-200.0,0.00018228753819130361
83,200,-200.0,0.00017558182720676995
84,200,-200.0,0.00018247832495035254
85,200,-200.0,0.00017979576594370883
86,200,-200.0,0.00020935806714987847
87,200,-200.0,0.0002028590874033398
88,175,-175.0,0.0002065927122852632
89,200,-200.0,0.004546119249462208
90,200,-200.0,0.008929201334758545
91,159,-159.0,0.0029742063847575453
92,200,-200.0,0.013437043591220572
93,200,-200.0,0.006894161726195307
94,200,-200.0,0.011395695184874058
95,160,-160.0,0.008687945162182586
96,200,-200.0,0.009321878367190948
97,161,-161.0,0.03128909257667028
98,155,-155.0,0.012100094663366045
99,159,-159.0,0.020561756828970806
100,160,-160.0,0.043562706743796295
101,149,-149.0,0.03149627750099171
102,162,-162.0,0.03485051941521463
103,165,-165.0,0.042939003523629664
104,200,-200.0,0.05443223641334043
105,158,-158.0,0.06618853030264704
106,156,-156.0,0.07644031184836655
107,151,-151.0,0.1170387476168431
108,162,-162.0,0.09192859576495845
109,168,-168.0,0.10034749901924875
110,158,-158.0,0.061460807230680904
111,170,-170.0,0.12277487686455167
112,173,-173.0,0.09868790167959197
113,154,-154.0,0.07326272475762238
114,175,-175.0,0.10378207252726757
115,160,-160.0,0.15055228217624972
116,166,-166.0,0.18101711049872304
117,158,-158.0,0.1315665778575415
118,158,-158.0,0.15065066828141932
119,169,-169.0,0.16461971207086504
120,160,-160.0,0.17742452929487626
121,200,-200.0,0.16986693952669157
122,172,-172.0,0.14276490725582291
123,161,-161.0,0.19323701709754743
124,170,-170.0,0.16589447781683275
125,172,-172.0,0.18470397816231843
126,176,-176.0,0.16392998447785925
127,160,-160.0,0.21504697709096945
128,161,-161.0,0.23607847675997823
129,190,-190.0,0.19817243528852582
130,160,-160.0,0.23506865639246827
131,172,-172.0,0.22513150199564164
132,160,-160.0,0.17894451545762421
133,167,-167.0,0.21729461495620953
134,166,-166.0,0.28006847763219456
135,160,-160.0,0.26539937976085637
136,169,-169.0,0.2094098238691897
137,168,-168.0,0.25981799603808514
138,160,-160.0,0.27596449984630456
139,163,-163.0,0.23043218120558337
140,174,-174.0,0.2749543536859886
141,188,-188.0,0.31144100914528455
142,167,-167.0,0.28033075554918185
143,171,-171.0,0.30636831060833464
144,173,-173.0,0.29662557193306893
145,175,-175.0,0.2931069727501433
146,172,-172.0,0.3209748643539781
147,169,-169.0,0.3140971357851515
148,171,-171.0,0.36001102290421244
149,169,-169.0,0.34846226223358695
150,175,-175.0,0.32780797658089017
151,184,-184.0,0.3381229867581683
152,174,-174.0,0.3568628346815106
153,183,-183.0,0.33866391900056575
154,197,-197.0,0.3273711036701644
155,186,-186.0,0.36369575241891045
156,198,-198.0,0.3391778026589879
157,183,-183.0,0.3910528163888741
158,185,-185.0,0.38315885887556783
159,177,-177.0,0.38035404715834364
160,181,-181.0,0.37575710326618417
161,184,-184.0,0.361013426931332
162,173,-173.0,0.363309601989354
163,180,-180.0,0.38699677398738763
164,181,-181.0,0.42931718881967484
165,175,-175.0,0.3741035062553627
166,176,-176.0,0.37453095338159154
167,177,-177.0,0.318877173077294
168,179,-179.0,0.32184601915407113
169,172,-172.0,0.38578589622277853
170,182,-182.0,0.33645827130793216
171,184,-184.0,0.39799342427969625
172,177,-177.0,0.3352297347375734
173,181,-181.0,0.3786759003430852
174,182,-182.0,0.35565285104234795
175,177,-177.0,0.3431602610475094
176,188,-188.0,0.334208776560077
177,173,-173.0,0.3206802827085374
178,175,-175.0,0.3701680453973157
179,186,-186.0,0.35930611165140264
180,200,-200.0,0.3066412351373583
181,200,-200.0,0.3514328013919294
182,184,-184.0,0.29435918439665565
183,106,-106.0,0.3098254429773902
184,98,-98.0,0.3610534555069646
185,198,-198.0,0.3556955475360155
186,168,-168.0,0.36683601921512965
187,200,-200.0,0.31587751081213356
188,114,-114.0,0.34886025915151103
189,100,-100.0,0.34069653525948523
190,123,-123.0,0.3379740825574088
191,170,-170.0,0.3109598340137916
192,92,-92.0,0.25509741675594577
193,181,-181.0,0.34821749620592396
194,190,-190.0,0.33837684592918343
195,109,-109.0,0.3617136084363548
196,193,-193.0,0.2816272245748982
197,200,-200.0,0.3164545001834631
198,173,-173.0,0.33464414477779
199,101,-101.0,0.2988911086674964
200,198,-198.0,0.29276527799289637
201,106,-106.0,0.3904681244759627
202,200,-200.0,0.30757588004693387
203,163,-163.0,0.33417524580209534
204,184,-184.0,0.3016562579280656
205,186,-186.0,0.31899210712521947
206,164,-164.0,0.30177791627896267
207,198,-198.0,0.2939543534032624
208,94,-94.0,0.260830117508452
209,103,-103.0,0.25495002910639475
210,95,-95.0,0.30287653686184635
211,110,-110.0,0.32222022583538834
212,169,-169.0,0.2993215093686736
213,193,-193.0,0.3180590454160858
214,114,-114.0,0.3384529412969163
215,200,-200.0,0.32371036529541014
216,92,-92.0,0.31604353597630624
217,165,-165.0,0.3096195250298038
218,161,-161.0,0.34891803470087346
219,91,-91.0,0.3239646453287575
220,120,-120.0,0.29977007731795313
221,172,-172.0,0.326587030555793
222,112,-112.0,0.3117558002871062
223,176,-176.0,0.324472440851175
224,99,-99.0,0.3110699312704982
225,150,-150.0,0.33451340451836586
226,98,-98.0,0.34197828949105985
227,97,-97.0,0.3649548770687015
228,177,-177.0,0.3499420053709698
229,158,-158.0,0.3280587513235551
230,158,-158.0,0.3272087169410307
231,95,-95.0,0.3107900536374042
232,190,-190.0,0.3388798427424933
233,162,-162.0,0.3072145912382338
234,105,-105.0,0.3494414876614298
235,121,-121.0,0.32712107533512036
236,99,-99.0,0.3531741572148872
237,158,-158.0,0.35171945312921005
238,159,-159.0,0.32572482142058556
239,145,-145.0,0.34600526711036417
240,161,-161.0,0.2835017639842833
241,101,-101.0,0.29880724729287744
242,153,-153.0,0.3189239053457391
243,108,-108.0,0.3489185577189481
244,114,-114.0,0.3362867711928853
245,101,-101.0,0.3510042685683411
246,106,-106.0,0.33740362960774944
247,152,-152.0,0.3528360196046139
248,149,-149.0,0.36882104279610933
249,150,-150.0,0.37471475968758267
250,171,-171.0,0.37887168348881234
251,147,-147.0,0.4083750673702785
252,146,-146.0,0.4004015177488327
253,146,-146.0,0.39548901835941286
254,149,-149.0,0.40990694577261905
255,161,-161.0,0.44822258830810924
256,125,-125.0,0.4289614450931549
257,149,-149.0,0.4493860456367467
258,157,-157.0,0.48638006712600684
259,168,-168.0,0.47452317816870554
260,162,-162.0,0.5042841075747101
261,170,-170.0,0.5004968890372444
262,149,-149.0,0.5096639787790759
263,144,-144.0,0.5960204820666049
264,148,-148.0,0.5727006375185542
265,146,-146.0,0.5317257086503996
266,161,-161.0,0.5848550914052111
267,149,-149.0,0.63792398801986
268,160,-160.0,0.6331946668215096
269,132,-132.0,0.627246171574701
270,169,-169.0,0.6406233642228256
271,149,-149.0,0.6858781207127859
272,146,-146.0,0.705629789563891
273,153,-153.0,0.7948312523707844
274,169,-169.0,0.7531988680715391
275,107,-107.0,0.7226454856518273
276,144,-144.0,0.7552713721783625
277,114,-114.0,0.8370512982732371
278,157,-157.0,0.8208969443277189
279,179,-179.0,0.7971595269341708
280,108,-108.0,0.8695655804541376
281,150,-150.0,0.8304863635698955
282,153,-153.0,0.9527814333734949
283,162,-162.0,0.9472643869158662
284,117,-117.0,0.9558722641732957
285,119,-119.0,1.0097722424929882
286,151,-151.0,1.0594772267223194
287,146,-146.0,1.0967271908709448
288,164,-164.0,1.0484051615363215
289,146,-146.0,1.0206186355997438
290,161,-161.0,1.1700349339046834
291,160,-160.0,1.1995382510125636
292,170,-170.0,1.2105955600738525
293,156,-156.0,1.2314671281820688
294,150,-150.0,1.3353855979442597
295,160,-160.0,1.3211281510069965
296,115,-115.0,1.4888497671355372
297,113,-113.0,1.5041245013739155
298,130,-130.0,1.4981433668961892
299,145,-145.0,1.5135667188414212
300,146,-146.0,1.5633182980834621
301,107,-107.0,1.600449251515843
302,133,-133.0,1.6668099646729635
303,161,-161.0,1.5629304932511372
304,158,-158.0,1.659238465036018
305,162,-162.0,1.785481236415145
306,146,-146.0,1.7808625061218053
307,146,-146.0,1.9179600924253464
308,147,-147.0,1.9279111165578673
309,159,-159.0,1.987067203851616
310,169,-169.0,1.9659936468629442
311,164,-164.0,2.051248030328169
312,149,-149.0,2.190088284895724
313,155,-155.0,2.3291810679820277
314,171,-171.0,2.371110688698919
315,152,-152.0,2.2430481502884314
316,143,-143.0,2.4592471337401784
317,177,-177.0,2.4231518018717146
318,147,-147.0,2.8841300971653996
319,144,-144.0,2.7041711546480656
320,176,-176.0,2.798326833342964
321,152,-152.0,2.864325959431498
322,150,-150.0,2.847845912774404
323,106,-106.0,2.8662115740326217
324,146,-146.0,3.0213743554402703
325,154,-154.0,2.9750813338663673
326,148,-148.0,3.221895873143866
327,144,-144.0,3.230187822961145
328,146,-146.0,3.176830138245674
329,164,-164.0,3.347817879987926
330,148,-148.0,3.3629730794880843
331,157,-157.0,3.6123157010716236
332,170,-170.0,3.7367708640940047
333,133,-133.0,3.7241447948871698
334,154,-154.0,3.8630618004055766
335,144,-144.0,3.421725363781055
336,116,-116.0,3.6344938643019775
337,142,-142.0,3.58550943455226
338,159,-159.0,4.42871015926577
339,151,-151.0,3.9907497357059
340,155,-155.0,4.058360813125487
341,142,-142.0,4.099491584049145
342,148,-148.0,4.393647889027724
343,159,-159.0,4.34249055648
344,142,-142.0,4.228771142136883
345,155,-155.0,4.5039227693311625
346,171,-171.0,4.751329707123383
347,144,-144.0,5.206255305972364
348,146,-146.0,5.364342032638315
349,151,-151.0,5.172646447522751
350,145,-145.0,5.321003841531688
351,153,-153.0,5.595783609969943
352,142,-142.0,5.645055728059419
353,141,-141.0,5.649822244830165
354,124,-124.0,5.696097464330735
355,144,-144.0,5.799222610890865
356,149,-149.0,6.403386208035002
357,104,-104.0,6.5890499628507175
358,146,-146.0,6.5702117885628795
359,149,-149.0,6.746894845226467
360,148,-148.0,6.357795527657947
361,142,-142.0,6.616081046386504
362,146,-146.0,6.834665550761027
363,145,-145.0,6.84097219664475
364,104,-104.0,6.117567766171235
365,148,-148.0,6.960212258873759
366,141,-141.0,7.3015281976537505
367,142,-142.0,7.026432350487776
368,148,-148.0,6.9207461637419625
369,101,-101.0,6.713004576097621
370,146,-146.0,7.498380313180897
371,150,-150.0,8.079544383684794
372,145,-145.0,7.913269899631369
373,153,-153.0,7.754414482833513
374,162,-162.0,7.703906311665052
375,144,-144.0,7.971596569650703
376,148,-148.0,8.536568319475329
377,153,-153.0,8.401696229292677
378,165,-165.0,8.851087362838514
379,149,-149.0,8.693787426756533
380,141,-141.0,9.470095629387714
381,140,-140.0,9.034440930400576
382,149,-149.0,9.56125517179502
383,148,-148.0,9.057530031816379
384,149,-149.0,9.889111193234488
385,147,-147.0,9.643524758669795
386,160,-160.0,10.663051301985979
387,148,-148.0,10.449657180824795
388,145,-145.0,9.65752596197457
389,147,-147.0,10.066357932123196
390,149,-149.0,10.586674443027317
391,143,-143.0,10.912329295298436
392,145,-145.0,10.987802059897062
393,152,-152.0,11.24501773087602
394,152,-152.0,11.080178594902941
395,144,-144.0,12.316765553421444
396,142,-142.0,11.999304848657527
397,146,-146.0,11.467370381094005
398,142,-142.0,13.005216422215314
399,142,-142.0,13.541008747799296
400,200,-200.0,12.832492170333863
401,142,-142.0,13.92899438361047
402,147,-147.0,13.210571472336646
403,149,-149.0,12.601308286590065
404,142,-142.0,14.299671811117253
405,169,-169.0,13.922363995094976
406,153,-153.0,14.350675124748081
407,145,-145.0,14.135716612585659
408,144,-144.0,14.16700782544083
409,153,-153.0,15.473519414078956
410,157,-157.0,15.83605563868383
411,146,-146.0,15.23977184622255
412,148,-148.0,16.171630840043765
413,147,-147.0,15.926852484138644
414,141,-141.0,16.526000369525125
415,148,-148.0,16.815322759989147
416,142,-142.0,16.339066622962413
417,143,-143.0,17.64271500394061
418,145,-145.0,17.273095558429585
419,146,-146.0,17.77392142112941
420,148,-148.0,15.725533346872073
421,143,-143.0,18.34636017325875
422,142,-142.0,18.811161497948873
423,157,-157.0,18.403030471437297
424,145,-145.0,19.376945216080237
425,155,-155.0,20.520898657460368
426,156,-156.0,19.05302832982479
427,147,-147.0,18.588801948391662
428,146,-146.0,20.35901335494159
429,143,-143.0,21.59870531842425
430,200,-200.0,21.130131666660308
431,143,-143.0,22.269225944172252
432,153,-153.0,21.123672419903325
433,150,-150.0,19.377750069300333
434,149,-149.0,21.30326067521268
435,145,-145.0,22.397987720884124
436,149,-149.0,23.827564383513174
437,145,-145.0,22.998028222445782
438,146,-146.0,22.47691768489472
439,143,-143.0,25.005060879500597
440,146,-146.0,24.74833448292458
441,150,-150.0,24.529928115208943
442,174,-174.0,26.30734419822693
443,149,-149.0,25.374298918167216
444,164,-164.0,25.344659459300157
445,143,-143.0,25.109017132045505
446,144,-144.0,28.592780854966904
447,144,-144.0,28.943436629242367
448,146,-146.0,27.51002828388998
449,145,-145.0,26.069324368443983
450,144,-144.0,32.087046441104675
451,200,-200.0,28.294523248672487
452,170,-170.0,28.42522666314069
453,146,-146.0,29.527660699739847
454,200,-200.0,30.97534704685211
455,144,-144.0,28.58218291733
456,200,-200.0,30.862670373916625
457,144,-144.0,33.25633045699861
458,150,-150.0,32.106642201741536
459,141,-141.0,31.66476598699042
460,147,-147.0,31.758033739466246
461,145,-145.0,30.00139943484602
462,145,-145.0,29.591124800978037
463,145,-145.0,30.986458696168043
464,145,-145.0,35.59838900730528
465,148,-148.0,34.83865420882766
466,172,-172.0,32.9723821185356
467,142,-142.0,38.24442330548461
468,146,-146.0,35.30812002861337
469,142,-142.0,32.941342642609506
470,171,-171.0,35.651810183162574
471,146,-146.0,35.44120814702282
472,144,-144.0,37.17722366253535
473,200,-200.0,35.19502737522125
474,200,-200.0,37.13291513442993
475,200,-200.0,38.06434841156006
476,200,-200.0,37.99002826690674
477,200,-200.0,38.52803595066071
478,200,-200.0,38.33738929748535
479,200,-200.0,34.84271744251251
480,200,-200.0,38.80233235836029
481,200,-200.0,39.081923661232
482,200,-200.0,38.19389713287354
483,200,-200.0,39.33852542877197
484,142,-142.0,40.126961090195344
485,200,-200.0,38.15708092212677
486,200,-200.0,36.80108176231384
487,200,-200.0,38.95192194461823
488,200,-200.0,39.116986455917356
489,200,-200.0,36.1344929599762
490,200,-200.0,37.662242555618285
491,200,-200.0,38.17200954437256
492,200,-200.0,37.76147818088531
493,200,-200.0,37.851296620368956
494,200,-200.0,38.500842728614806
495,200,-200.0,35.53700237751007
496,200,-200.0,35.78301736831665
497,200,-200.0,36.955792746543885
498,200,-200.0,37.80774545192718
499,200,-200.0,38.18948479652405
500,200,-200.0,37.47905530929565
