episode,duration,reward,average_loss
1,200,-200.0,0.2880789621235573
2,200,-200.0,0.09239097021520137
3,200,-200.0,0.004677283736527898
4,200,-200.0,0.00119177808315726
5,200,-200.0,0.0006458814046345651
6,200,-200.0,0.0005061317449144554
7,200,-200.0,0.00039934753338457087
8,200,-200.0,0.00029701044062676376
9,200,-200.0,0.00018550202035839904
10,200,-200.0,0.00015917450215056307
11,200,-200.0,0.00010970550369165721
12,200,-200.0,8.559583488022326e-05
13,200,-200.0,7.663120193683426e-05
14,200,-200.0,6.825055887020426e-05
15,200,-200.0,6.262847616198996e-05
16,200,-200.0,5.604758698609658e-05
17,200,-200.0,5.392259475229366e-05
18,200,-200.0,5.158202330676431e-05
19,200,-200.0,4.910984283469588e-05
20,200,-200.0,4.624838503332285e-05
21,200,-200.0,4.464301442112628e-05
22,200,-200.0,4.3487701991580255e-05
23,200,-200.0,4.2836094976337336e-05
24,200,-200.0,4.4317144224805814e-05
25,200,-200.0,4.3898901772081445e-05
26,200,-200.0,4.1639611795289965e-05
27,200,-200.0,4.424824574471131e-05
28,200,-200.0,4.601188507422194e-05
29,200,-200.0,4.410079311583104e-05
30,200,-200.0,4.485531398586318e-05
31,200,-200.0,4.6834812974339005e-05
32,200,-200.0,4.710164350399282e-05
33,200,-200.0,4.777461655066872e-05
34,200,-200.0,4.9725667558959685e-05
35,200,-200.0,5.3826568964723266e-05
36,200,-200.0,4.96523419587902e-05
37,200,-200.0,5.372616933527752e-05
38,200,-200.0,5.316251817930606e-05
39,200,-200.0,5.5387507809427914e-05
40,200,-200.0,5.704642051568953e-05
41,200,-200.0,5.96707907243399e-05
42,200,-200.0,5.896893711906159e-05
43,200,-200.0,5.977653032459784e-05
44,200,-200.0,6.178402717523568e-05
45,200,-200.0,5.823495007462043e-05
46,200,-200.0,6.18430926988367e-05
47,200,-200.0,6.251220423109772e-05
48,200,-200.0,6.263751472033618e-05
49,200,-200.0,6.486847688393027e-05
50,200,-200.0,6.559177438248299e-05
51,200,-200.0,6.309793839136546e-05
52,200,-200.0,6.667537947578239e-05
53,200,-200.0,6.892219221299456e-05
54,200,-200.0,7.694146996072959e-05
55,200,-200.0,7.817721681931289e-05
56,200,-200.0,8.817853588880098e-05
57,200,-200.0,0.00010944552735963953
58,200,-200.0,0.0001558802267572901
59,200,-200.0,0.00014779973726035677
60,200,-200.0,0.00018063399298625881
61,200,-200.0,0.0002449556680767273
62,200,-200.0,0.00024099706144625088
63,200,-200.0,0.00029187192203607994
64,200,-200.0,0.0003176138599519618
65,200,-200.0,0.00034139171317292493
66,200,-200.0,0.0004158971515062149
67,200,-200.0,0.0004748565410045558
68,200,-200.0,0.0004523005034207017
69,200,-200.0,0.00043798443733976454
70,200,-200.0,0.0004920901266450528
71,200,-200.0,0.0005180376169300871
72,200,-200.0,0.0005490576641022926
73,200,-200.0,0.0005869799416541355
74,200,-200.0,0.0006079217905789846
75,200,-200.0,0.0006292491406202316
76,200,-200.0,0.0006449983907077694
77,200,-200.0,0.0006083288268564502
78,200,-200.0,0.0006186456292925868
